Starting the 'Apache2.4' service
The 'Apache2.4' service is running.
ly determine the server's fully qualified domain name, using fe80::6899:fd39:1b92:5b9b. Set the 'ServerName' directive globally to suppress this message
[Wed Apr 23 18:30:52.833800 2025] [mpm_winnt:notice] [pid 23596:tid 428] AH00455: Apache/2.4.63 (Win64) configured -- resuming normal operations
[Wed Apr 23 18:30:52.835940 2025] [mpm_winnt:notice] [pid 23596:tid 428] AH00456: Apache Lounge VS17 Server built: Feb  3 2025 10:10:51
[Wed Apr 23 18:30:52.835940 2025] [core:notice] [pid 23596:tid 428] AH00094: Command line: 'C:\\Apache24\\bin\\httpd.exe -d C:/Apache24'
[Wed Apr 23 18:30:52.837453 2025] [mpm_winnt:notice] [pid 23596:tid 428] AH00418: Parent: Created child process 26656
AH00558: httpd.exe: Could not reliably determine the server's fully qualified domain name, using fe80::6899:fd39:1b92:5b9b. Set the 'ServerName' directive globally to suppress this message
AH00558: httpd.exe: Could not reliably determine the server's fully qualified domain name, using fe80::6899:fd39:1b92:5b9b. Set the 'ServerName' directive globally to suppress this message
[Wed Apr 23 18:30:53.317434 2025] [mpm_winnt:notice] [pid 26656:tid 440] AH00354: Child: Starting 64 worker threads.
The 'Apache2.4' service is restarting.
The 'Apache2.4' service has restarted.
winnt:notice] [pid 23596:tid 428] AH00424: Parent: Received restart signal -- Restarting the server.
AH00558: httpd.exe: Could not reliably determine the server's fully qualified domain name, using fe80::6899:fd39:1b92:5b9b. Set the 'ServerName' directive globally to suppress this message
[Wed Apr 23 18:42:45.304300 2025] [mpm_winnt:notice] [pid 23596:tid 428] AH00455: Apache/2.4.63 (Win64) configured -- resuming normal operations
[Wed Apr 23 18:42:45.304300 2025] [mpm_winnt:notice] [pid 23596:tid 428] AH00456: Apache Lounge VS17 Server built: Feb  3 2025 10:10:51
[Wed Apr 23 18:42:45.304300 2025] [core:notice] [pid 23596:tid 428] AH00094: Command line: 'C:\\Apache24\\bin\\httpd.exe -d C:/Apache24'
[Wed Apr 23 18:42:45.309653 2025] [mpm_winnt:notice] [pid 23596:tid 428] AH00418: Parent: Created child process 872
AH00558: httpd.exe: Could not reliably determine the server's fully qualified domain name, using fe80::6899:fd39:1b92:5b9b. Set the 'ServerName' directive globally to suppress this message
AH00558: httpd.exe: Could not reliably determine the server's fully qualified domain name, using fe80::6899:fd39:1b92:5b9b. Set the 'ServerName' directive globally to suppress this message
[Wed Apr 23 18:42:46.272691 2025] [mpm_winnt:notice] [pid 872:tid 464] AH00354: Child: Starting 64 worker threads.
[Wed Apr 23 18:42:47.274481 2025] [mpm_winnt:notice] [pid 26656:tid 440] AH00364: Child: All worker threads have exited.
The 'Apache2.4' service is restarting.
The 'Apache2.4' service has restarted.
winnt:notice] [pid 23596:tid 428] AH00424: Parent: Received restart signal -- Restarting the server.
AH00558: httpd.exe: Could not reliably determine the server's fully qualified domain name, using fe80::6899:fd39:1b92:5b9b. Set the 'ServerName' directive globally to suppress this message
[Wed Apr 23 18:42:57.057184 2025] [mpm_winnt:notice] [pid 23596:tid 428] AH00455: Apache/2.4.63 (Win64) configured -- resuming normal operations
[Wed Apr 23 18:42:57.057184 2025] [mpm_winnt:notice] [pid 23596:tid 428] AH00456: Apache Lounge VS17 Server built: Feb  3 2025 10:10:51
[Wed Apr 23 18:42:57.057184 2025] [core:notice] [pid 23596:tid 428] AH00094: Command line: 'C:\\Apache24\\bin\\httpd.exe -d C:/Apache24'
[Wed Apr 23 18:42:57.072202 2025] [mpm_winnt:notice] [pid 23596:tid 428] AH00418: Parent: Created child process 18464
AH00558: httpd.exe: Could not reliably determine the server's fully qualified domain name, using fe80::6899:fd39:1b92:5b9b. Set the 'ServerName' directive globally to suppress this message
AH00558: httpd.exe: Could not reliably determine the server's fully qualified domain name, using fe80::6899:fd39:1b92:5b9b. Set the 'ServerName' directive globally to suppress this message
[Wed Apr 23 18:42:58.027504 2025] [mpm_winnt:notice] [pid 18464:tid 480] AH00354: Child: Starting 64 worker threads.
[Wed Apr 23 18:42:59.033038 2025] [mpm_winnt:notice] [pid 872:tid 464] AH00364: Child: All worker threads have exited.
The 'Apache2.4' service is restarting.
The 'Apache2.4' service has restarted.
winnt:notice] [pid 23596:tid 428] AH00424: Parent: Received restart signal -- Restarting the server.
AH00558: httpd.exe: Could not reliably determine the server's fully qualified domain name, using fe80::6899:fd39:1b92:5b9b. Set the 'ServerName' directive globally to suppress this message
[Wed Apr 23 18:43:06.915823 2025] [mpm_winnt:notice] [pid 23596:tid 428] AH00455: Apache/2.4.63 (Win64) configured -- resuming normal operations
[Wed Apr 23 18:43:06.915823 2025] [mpm_winnt:notice] [pid 23596:tid 428] AH00456: Apache Lounge VS17 Server built: Feb  3 2025 10:10:51
[Wed Apr 23 18:43:06.915823 2025] [core:notice] [pid 23596:tid 428] AH00094: Command line: 'C:\\Apache24\\bin\\httpd.exe -d C:/Apache24'
[Wed Apr 23 18:43:06.927496 2025] [mpm_winnt:notice] [pid 23596:tid 428] AH00418: Parent: Created child process 17792
AH00558: httpd.exe: Could not reliably determine the server's fully qualified domain name, using fe80::6899:fd39:1b92:5b9b. Set the 'ServerName' directive globally to suppress this message
AH00558: httpd.exe: Could not reliably determine the server's fully qualified domain name, using fe80::6899:fd39:1b92:5b9b. Set the 'ServerName' directive globally to suppress this message
[Wed Apr 23 18:43:07.883249 2025] [mpm_winnt:notice] [pid 17792:tid 512] AH00354: Child: Starting 64 worker threads.
[Wed Apr 23 18:43:08.888663 2025] [mpm_winnt:notice] [pid 18464:tid 480] AH00364: Child: All worker threads have exited.
The 'Apache2.4' service is restarting.
The 'Apache2.4' service has restarted.
winnt:notice] [pid 23596:tid 428] AH00424: Parent: Received restart signal -- Restarting the server.
AH00558: httpd.exe: Could not reliably determine the server's fully qualified domain name, using fe80::6899:fd39:1b92:5b9b. Set the 'ServerName' directive globally to suppress this message
[Wed Apr 23 18:46:22.236813 2025] [mpm_winnt:notice] [pid 23596:tid 428] AH00455: Apache/2.4.63 (Win64) configured -- resuming normal operations
[Wed Apr 23 18:46:22.236813 2025] [mpm_winnt:notice] [pid 23596:tid 428] AH00456: Apache Lounge VS17 Server built: Feb  3 2025 10:10:51
[Wed Apr 23 18:46:22.236813 2025] [core:notice] [pid 23596:tid 428] AH00094: Command line: 'C:\\Apache24\\bin\\httpd.exe -d C:/Apache24'
[Wed Apr 23 18:46:22.247738 2025] [mpm_winnt:notice] [pid 23596:tid 428] AH00418: Parent: Created child process 27468
AH00558: httpd.exe: Could not reliably determine the server's fully qualified domain name, using fe80::6899:fd39:1b92:5b9b. Set the 'ServerName' directive globally to suppress this message
AH00558: httpd.exe: Could not reliably determine the server's fully qualified domain name, using fe80::6899:fd39:1b92:5b9b. Set the 'ServerName' directive globally to suppress this message
[Wed Apr 23 18:46:24.206805 2025] [mpm_winnt:notice] [pid 17792:tid 512] AH00364: Child: All worker threads have exited.
[Wed Apr 23 18:46:24.408264 2025] [mpm_winnt:notice] [pid 27468:tid 456] AH00354: Child: Starting 64 worker threads.
[Wed Apr 23 18:53:01.865861 2025] [php:error] [pid 27468:tid 1276] [client 127.0.0.1:59966] PHP Fatal error:  Uncaught mysqli_sql_exception: The server requested authentication method unknown to the client [auth_gssapi_client] in C:\\Apache24\\htdocs\\dbtest.php:2\nStack trace:\n#0 C:\\Apache24\\htdocs\\dbtest.php(2): mysqli->__construct('localhost', 'root', Object(SensitiveParameterValue))\n#1 {main}\n  thrown in C:\\Apache24\\htdocs\\dbtest.php on line 2
[Wed Apr 23 19:12:49.750124 2025] [php:notice] [pid 27468:tid 1276] [client 127.0.0.1:60738] PHP Deprecated:  Safe\\mssql_connect(): Implicitly marking parameter $servername as nullable is deprecated, the explicit nullable type must be used instead in C:\\Apache24\\htdocs\\phpMyAdmin-5.2.2-all-languages\\vendor\\thecodingmachine\\safe\\deprecated\\mssql.php on line 100, referer: http://localhost/
[Wed Apr 23 19:12:49.750124 2025] [php:notice] [pid 27468:tid 1276] [client 127.0.0.1:60738] PHP Deprecated:  Safe\\mssql_connect(): Implicitly marking parameter $username as nullable is deprecated, the explicit nullable type must be used instead in C:\\Apache24\\htdocs\\phpMyAdmin-5.2.2-all-languages\\vendor\\thecodingmachine\\safe\\deprecated\\mssql.php on line 100, referer: http://localhost/
[Wed Apr 23 19:12:49.750124 2025] [php:notice] [pid 27468:tid 1276] [client 127.0.0.1:60738] PHP Deprecated:  Safe\\mssql_connect(): Implicitly marking parameter $password as nullable is deprecated, the explicit nullable type must be used instead in C:\\Apache24\\htdocs\\phpMyAdmin-5.2.2-all-languages\\vendor\\thecodingmachine\\safe\\deprecated\\mssql.php on line 100, referer: http://localhost/
[Wed Apr 23 19:12:49.750124 2025] [php:notice] [pid 27468:tid 1276] [client 127.0.0.1:60738] PHP Deprecated:  Safe\\mssql_pconnect(): Implicitly marking parameter $servername as nullable is deprecated, the explicit nullable type must be used instead in C:\\Apache24\\htdocs\\phpMyAdmin-5.2.2-all-languages\\vendor\\thecodingmachine\\safe\\deprecated\\mssql.php on line 333, referer: http://localhost/
[Wed Apr 23 19:12:49.750124 2025] [php:notice] [pid 27468:tid 1276] [client 127.0.0.1:60738] PHP Deprecated:  Safe\\mssql_pconnect(): Implicitly marking parameter $username as nullable is deprecated, the explicit nullable type must be used instead in C:\\Apache24\\htdocs\\phpMyAdmin-5.2.2-all-languages\\vendor\\thecodingmachine\\safe\\deprecated\\mssql.php on line 333, referer: http://localhost/
[Wed Apr 23 19:12:49.750124 2025] [php:notice] [pid 27468:tid 1276] [client 127.0.0.1:60738] PHP Deprecated:  Safe\\mssql_pconnect(): Implicitly marking parameter $password as nullable is deprecated, the explicit nullable type must be used instead in C:\\Apache24\\htdocs\\phpMyAdmin-5.2.2-all-languages\\vendor\\thecodingmachine\\safe\\deprecated\\mssql.php on line 333, referer: http://localhost/
[Wed Apr 23 19:12:49.766063 2025] [php:notice] [pid 27468:tid 1276] [client 127.0.0.1:60738] PHP Deprecated:  Safe\\preg_replace(): Implicitly marking parameter $count as nullable is deprecated, the explicit nullable type must be used instead in C:\\Apache24\\htdocs\\phpMyAdmin-5.2.2-all-languages\\vendor\\thecodingmachine\\safe\\lib\\special_cases.php on line 155, referer: http://localhost/
[Wed Apr 23 19:12:49.766063 2025] [php:notice] [pid 27468:tid 1276] [client 127.0.0.1:60738] PHP Deprecated:  Safe\\bzwrite(): Implicitly marking parameter $length as nullable is deprecated, the explicit nullable type must be used instead in C:\\Apache24\\htdocs\\phpMyAdmin-5.2.2-all-languages\\vendor\\thecodingmachine\\safe\\generated\\bzip2.php on line 84, referer: http://localhost/
[Wed Apr 23 19:12:49.766063 2025] [php:notice] [pid 27468:tid 1276] [client 127.0.0.1:60738] PHP Deprecated:  Safe\\com_print_typeinfo(): Implicitly marking parameter $dispinterface as nullable is deprecated, the explicit nullable type must be used instead in C:\\Apache24\\htdocs\\phpMyAdmin-5.2.2-all-languages\\vendor\\thecodingmachine\\safe\\generated\\com.php on line 120, referer: http://localhost/
[Wed Apr 23 19:12:49.766063 2025] [php:notice] [pid 27468:tid 1276] [client 127.0.0.1:60738] PHP Deprecated:  Safe\\curl_getinfo(): Implicitly marking parameter $opt as nullable is deprecated, the explicit nullable type must be used instead in C:\\Apache24\\htdocs\\phpMyAdmin-5.2.2-all-languages\\vendor\\thecodingmachine\\safe\\generated\\curl.php on line 515, referer: http://localhost/
[Wed Apr 23 19:12:49.766063 2025] [php:notice] [pid 27468:tid 1276] [client 127.0.0.1:60738] PHP Deprecated:  Safe\\curl_init(): Implicitly marking parameter $url as nullable is deprecated, the explicit nullable type must be used instead in C:\\Apache24\\htdocs\\phpMyAdmin-5.2.2-all-languages\\vendor\\thecodingmachine\\safe\\generated\\curl.php on line 545, referer: http://localhost/
[Wed Apr 23 19:12:49.766063 2025] [php:notice] [pid 27468:tid 1276] [client 127.0.0.1:60738] PHP Deprecated:  Safe\\date_sunrise(): Implicitly marking parameter $latitude as nullable is deprecated, the explicit nullable type must be used instead in C:\\Apache24\\htdocs\\phpMyAdmin-5.2.2-all-languages\\vendor\\thecodingmachine\\safe\\generated\\datetime.php on line 236, referer: http://localhost/
[Wed Apr 23 19:12:49.766063 2025] [php:notice] [pid 27468:tid 1276] [client 127.0.0.1:60738] PHP Deprecated:  Safe\\date_sunrise(): Implicitly marking parameter $longitude as nullable is deprecated, the explicit nullable type must be used instead in C:\\Apache24\\htdocs\\phpMyAdmin-5.2.2-all-languages\\vendor\\thecodingmachine\\safe\\generated\\datetime.php on line 236, referer: http://localhost/
[Wed Apr 23 19:12:49.766063 2025] [php:notice] [pid 27468:tid 1276] [client 127.0.0.1:60738] PHP Deprecated:  Safe\\date_sunrise(): Implicitly marking parameter $zenith as nullable is deprecated, the explicit nullable type must be used instead in C:\\Apache24\\htdocs\\phpMyAdmin-5.2.2-all-languages\\vendor\\thecodingmachine\\safe\\generated\\datetime.php on line 236, referer: http://localhost/
[Wed Apr 23 19:12:49.766063 2025] [php:notice] [pid 27468:tid 1276] [client 127.0.0.1:60738] PHP Deprecated:  Safe\\date_sunset(): Implicitly marking parameter $latitude as nullable is deprecated, the explicit nullable type must be used instead in C:\\Apache24\\htdocs\\phpMyAdmin-5.2.2-all-languages\\vendor\\thecodingmachine\\safe\\generated\\datetime.php on line 339, referer: http://localhost/
[Wed Apr 23 19:12:49.766063 2025] [php:notice] [pid 27468:tid 1276] [client 127.0.0.1:60738] PHP Deprecated:  Safe\\date_sunset(): Implicitly marking parameter $longitude as nullable is deprecated, the explicit nullable type must be used instead in C:\\Apache24\\htdocs\\phpMyAdmin-5.2.2-all-languages\\vendor\\thecodingmachine\\safe\\generated\\datetime.php on line 339, referer: http://localhost/
[Wed Apr 23 19:12:49.766063 2025] [php:notice] [pid 27468:tid 1276] [client 127.0.0.1:60738] PHP Deprecated:  Safe\\date_sunset(): Implicitly marking parameter $zenith as nullable is deprecated, the explicit nullable type must be used instead in C:\\Apache24\\htdocs\\phpMyAdmin-5.2.2-all-languages\\vendor\\thecodingmachine\\safe\\generated\\datetime.php on line 339, referer: http://localhost/
[Wed Apr 23 19:12:49.766063 2025] [php:notice] [pid 27468:tid 1276] [client 127.0.0.1:60738] PHP Deprecated:  Safe\\date(): Implicitly marking parameter $timestamp as nullable is deprecated, the explicit nullable type must be used instead in C:\\Apache24\\htdocs\\phpMyAdmin-5.2.2-all-languages\\vendor\\thecodingmachine\\safe\\generated\\datetime.php on line 377, referer: http://localhost/
[Wed Apr 23 19:12:49.766063 2025] [php:notice] [pid 27468:tid 1276] [client 127.0.0.1:60738] PHP Deprecated:  Safe\\gmdate(): Implicitly marking parameter $timestamp as nullable is deprecated, the explicit nullable type must be used instead in C:\\Apache24\\htdocs\\phpMyAdmin-5.2.2-all-languages\\vendor\\thecodingmachine\\safe\\generated\\datetime.php on line 408, referer: http://localhost/
